[2017-01-26 11:58:27,898] [INFO] {'msgtype': 'news', 'news': {'articles': [{'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//12312', 'description': '2017-01-26 11:58:27\nID 12312', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/12312/'}]}, 'agentid': 1, 'toparty': 9}
[2017-01-28 09:58:13,969] [INFO] {'agentid': 1, 'toparty': 9, 'news': {'articles': [{'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545738/', 'description': '2017-01-28 09:58:13\n事件ID : 545738', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545738'}]}, 'msgtype': 'news'}
[2017-01-28 10:04:27,983] [INFO] {'msgtype': 'news', 'toparty': 9, 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//12312', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/12312/', 'description': '2017-01-28 10:04:27\nID 12312', 'title': '您有新的报警'}]}, 'agentid': 1}
[2017-01-28 10:04:46,623] [INFO] {'agentid': 1, 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//12312', 'description': '2017-01-28 10:04:46\nID 12312', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/12312/', 'title': '您有新的报警'}]}, 'msgtype': 'news', 'toparty': 9}
[2017-01-28 10:17:19,919] [INFO] {'msgtype': 'news', 'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545745/', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545745', 'description': '2017-01-28 10:17:19\n事件ID : 545745'}]}, 'agentid': 1, 'toparty': 9}
[2017-01-28 10:18:11,059] [INFO] {'agentid': 1, 'news': {'articles': [{'title': '您有新的报警', 'description': '2017-01-28 10:18:10\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.112 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.112 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545743', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545743/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545743'}]}, 'toparty': 3, 'msgtype': 'news'}
[2017-01-28 10:18:11,946] [INFO] {'news': {'articles': [{'description': '2017-01-28 10:18:11\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.112 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.112 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545743', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545743', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545743/'}]}, 'agentid': 1, 'toparty': 3, 'msgtype': 'news'}
[2017-01-28 10:18:22,520] [INFO] {'msgtype': 'news', 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545745', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545745/', 'title': '您有新的报警', 'description': '2017-01-28 10:18:22\n事件ID : 545745'}]}, 'agentid': 1, 'toparty': 9}
[2017-01-28 10:25:42,910] [INFO] {'toparty': 4, 'news': {'articles': [{'description': '2017-01-28 10:25:42\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.101 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.101 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545735', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545735', 'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545735/'}]}, 'msgtype': 'news', 'agentid': 1}
[2017-01-28 10:26:13,772] [INFO] {'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545736/', 'description': '2017-01-28 10:26:13\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.109 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.109 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545736', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545736'}]}, 'toparty': 4, 'agentid': 1, 'msgtype': 'news'}
[2017-01-28 10:26:44,651] [INFO] {'toparty': 4, 'msgtype': 'news', 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545737', 'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545737/', 'description': '2017-01-28 10:26:44\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.110 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.110 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545737'}]}, 'agentid': 1}
